,Unnamed: 0,id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType_x,isGoal_x,cardType_y,isGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,shirtNo,name,position,isFirstEleven,pro,shortName
23,23,2701068135.0,20,1,31.0,338,80.42999999999999,16.32,1,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 21, 'displayName': 'OtherBodyPart'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 69]",True,480249.0,,,,,,,,,,,,,,,,,,,,,Spain,19.0,Lamine Yamal,AMR,True,0.0,L. Yamal
24,24,2701068141.0,11,1,32.0,345,19.845,52.836000000000006,1,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '20.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '70.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.05'}]","[91, 117, 30, 36, 38, 215, 218]",True,118244.0,21.525000000000002,48.07600000000001,,,,,,,,,,,,2.0,6.0,2.0,5.0,-0.00942382,0.01001304,0.0005892200000000014,England,3.0,Luke Shaw,DL,True,0.0,L. Shaw
25,25,2701068143.0,12,1,33.0,345,18.480000000000004,50.592000000000006,1,FirstHalf,BallRecovery,Successful,[],[93],False,332325.0,,,,,,,,,,,,,,,,,,,,,England,4.0,Declan Rice,DMC,True,0.0,D. Rice
26,26,2701068145.0,13,1,33.0,345,18.480000000000004,50.592000000000006,1,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.17'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.5'}]","[91, 117, 30, 36, 37, 215, 218]",True,332325.0,26.880000000000003,52.02,,,,,,,,,,,,1.0,6.0,2.0,6.0,-0.00878589,0.00942382,0.0006379300000000001,England,4.0,Declan Rice,DMC,True,0.0,D. Rice
27,27,2701068159.0,14,1,35.0,345,26.880000000000003,52.02,1,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.61'}]","[91, 117, 30, 36, 37, 216, 218]",True,379868.0,41.265,62.016000000000005,,,,,,,,,,,,2.0,6.0,4.0,7.0,-0.00942382,0.01126267,0.0018388500000000012,England,10.0,Jude Bellingham,AML,True,0.0,J. Bellingham
28,28,2701068163.0,15,1,38.0,345,44.415,63.308,1,FirstHalf,TakeOn,Unsuccessful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '21'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[91, 53]",True,118244.0,,,,,,,,,,,,,,,,,,,,,England,3.0,Luke Shaw,DL,True,0.0,L. Shaw
29,29,2701068169.0,21,1,38.0,338,60.58500000000001,4.692,1,FirstHalf,Tackle,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '15'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 143]",True,106883.0,,,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
30,30,2701068171.0,22,1,38.0,338,47.04,2.9920000000000004,1,FirstHalf,BallRecovery,Successful,[],[93],False,106883.0,,,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
31,31,2701068215.0,23,1,43.0,338,35.805,5.168,1,FirstHalf,Pass,Successful,"[{'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.46'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.0'}]","[91, 117, 30, 35, 37, 215, 218]",True,106883.0,29.400000000000002,10.404000000000002,,,,,,,,,,,,4.0,0.0,3.0,1.0,0.01126267,0.0105949,-0.0006677699999999998,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
32,32,2701068227.0,24,1,50.0,338,27.615000000000002,12.988000000000001,1,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.08'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.5'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.2'}]","[91, 117, 30, 36, 38, 215, 218]",True,367008.0,31.71,2.3800000000000003,,,,,,,,,,,,3.0,1.0,3.0,0.0,0.0105949,0.00977659,-0.0008183100000000009,Spain,3.0,Robin Le Normand,DC,True,0.0,R. L. Normand
33,33,2701068231.0,25,1,52.0,338,31.290000000000003,3.06,1,FirstHalf,Dispossessed,Successful,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '16'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[91, 70]",True,106883.0,,,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
34,34,2701068233.0,16,1,52.0,345,73.71000000000001,64.94,1,FirstHalf,Tackle,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '25'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}]","[91, 143]",True,379868.0,,,,,,,,,,,,,,,,,,,,,England,10.0,Jude Bellingham,AML,True,0.0,J. Bellingham
35,35,2701068307.0,27,2,11.0,338,37.48500000000001,0.0,2,FirstHalf,Pass,Successful,"[{'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.46'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.5'}]","[91, 212, 36, 37, 216]",True,106883.0,49.56,5.168,,,,,,,,,,,,,,,,,,,Spain,2.0,Dani Carvajal,DR,True,0.0,D. Carvajal
36,36,2701068317.0,28,2,13.0,338,49.56,5.168,2,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '7.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.26'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.2'}]","[91, 120, 29, 139, 36, 38, 216, 218]",True,91213.0,63.21000000000001,4.896000000000001,,,,,,,,,,,,,,,,,,,Spain,7.0,Álvaro Morata,FW,True,0.0,Á. Morata
37,37,2701068333.0,18,2,15.0,345,29.82,55.35200000000001,2,FirstHalf,Pass,Successful,"[{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.07'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '82.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.1'}]","[91, 117, 30, 139, 36, 37, 216, 218]",True,374631.0,38.955000000000005,56.03200000000001,,,,,,,,,,,,3.0,6.0,4.0,6.0,-0.0105949,0.01214719,0.0015522899999999996,England,6.0,Marc Guéhi,DC,True,0.0,M. Guéhi
38,38,2701068339.0,19,2,16.0,345,38.955000000000005,56.03200000000001,2,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '69.6'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.25'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '34.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 128, 36, 38, 217, 218]",True,332325.0,73.08,54.74,,,,,,,,,,,,,,,,,,,England,4.0,Declan Rice,DMC,True,0.0,D. Rice
