Region,Year,Gender,Nationality,Population estimates
Jazan,"2,017",Female,Non-Saudi,"108,659"
Makkah,"2,019",Female,Saudi,"1,931,101"
Qaseem,"2,013",Male,Non-Saudi,"343,441"
Tabouk,"2,011",Male,Non-Saudi,"134,369"
Madinah,"2,015",Male,Saudi,"574,828"
Qaseem,"2,015",Male,Non-Saudi,"375,940"
Al-Baha,"2,020",Male,Saudi,"117,530"
Jazan,"2,015",Male,Saudi,"425,816"
Al-Jouf,"2,020",Male,Saudi,"212,298"
Eastern Region,"2,015",Male,Saudi,"1,277,468"
Madinah,"2,015",Female,Saudi,"577,855"
Al-Baha,"2,020",Male,Non-Saudi,"73,593"
Riyadh,"2,020",Female,Saudi,"2,100,681"
Aseer,"2,015",Male,Non-Saudi,"469,283"
Eastern Region,"2,015",Female,Saudi,"1,226,344"
Qaseem,"2,015",Female,Saudi,"394,991"
Qaseem,"2,015",Male,Saudi,"393,229"
Riyadh,"2,015",Female,Non-Saudi,"973,777"
Eastern Region,"2,019",Female,Non-Saudi,"382,301"
Aseer,"2,019",Male,Saudi,"668,468"
Hail,"2,020",Female,Non-Saudi,"41,320"
Tabouk,"2,012",Male,Non-Saudi,"148,210"
Northern Region,"2,011",Male,Saudi,"106,296"
Jazan,"2,020",Female,Saudi,"481,453"
Qaseem,"2,022",Female,Saudi,"465,458"
Hail,"2,010",Male,Non-Saudi,"101,989"
Makkah,"2,018",Male,Saudi,"1,879,826"
Qaseem,"2,021",Female,Non-Saudi,"76,769"
Aseer,"2,021",Female,Saudi,"712,009"
Eastern Region,"2,010",Male,Non-Saudi,"1,125,324"
Al-Jouf,"2,015",Female,Saudi,"190,315"
Tabouk,"2,017",Male,Saudi,"287,581"
Eastern Region,"2,011",Male,Non-Saudi,"1,251,678"
Qaseem,"2,022",Female,Non-Saudi,"78,494"
Al-Jouf,"2,010",Female,Saudi,"169,397"
Northern Region,"2,010",Male,Saudi,"104,306"
Madinah,"2,016",Female,Saudi,"592,006"
Tabouk,"2,015",Female,Non-Saudi,"41,697"
Aseer,"2,014",Female,Saudi,"601,145"
Madinah,"2,010",Male,Saudi,"507,527"
Al-Baha,"2,014",Female,Saudi,"104,998"
