Category,States/ UTs/Cities,Year,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - (10-14) Years,Incest (Rape) No. of Victims - (14-18) Years,Incest (Rape) No. of Victims - (18-30)Years,Incest (Rape) No. of Victims - (30-50) Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - (10-14) Years,Other (Rape) No. of Victims - (14-18) Years,Other (Rape) No. of Victims - (18-30)Years,Other (Rape) No. of Victims - (30-50) Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) No. of Victims - Upto 10 Years,Rape Cases (Total) No. of Victims - (10-14) Years,Rape Cases (Total) No. of Victims - (14-18) Years,Rape Cases (Total) No. of Victims - (18-30)Years,Rape Cases (Total) No. of Victims - (30-50) Years,Rape Cases (Total) No. of Victims - Above 50 Years,Rape Cases (Total) No. of Victims - Total Victims
Union Territory,Daman & Diu,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2008,37,2,12,8,10,1,4,37,429,69,83,127,123,29,2,433,466,71,95,135,133,30,6,470
Union Territory,Lakshadweep,2008,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,2,0,0,0,1,1,0,2
Union Territory,Puducherry,2008,0,0,0,0,0,0,0,0,8,0,1,3,3,1,0,8,8,0,1,3,3,1,0,8
Union Territory,Total (UTs),2008,40,2,12,10,11,1,4,40,474,71,89,144,139,33,2,478,514,73,101,154,150,34,6,518
City,Agra,2008,0,0,0,0,0,0,0,0,22,1,2,1,14,4,0,22,22,1,2,1,14,4,0,22
City,Ahmedabad,2008,0,0,0,0,0,0,0,0,44,0,0,0,27,17,0,44,44,0,0,0,27,17,0,44
City,Allahabad,2008,0,0,0,0,0,0,0,0,5,0,1,2,2,0,0,5,5,0,1,2,2,0,0,5
City,Amritsar,2008,0,0,0,0,0,0,0,0,15,1,3,1,10,0,0,15,15,1,3,1,10,0,0,15
City,Asansol,2008,0,0,0,0,0,0,0,0,20,0,0,0,12,8,0,20,20,0,0,0,12,8,0,20
City,Bengaluru,2008,0,0,0,0,0,0,0,0,54,1,0,0,45,8,0,54,54,1,0,0,45,8,0,54
City,Bhopal,2008,5,1,2,1,1,0,0,5,75,6,10,37,18,4,0,75,80,7,12,38,19,4,0,80
City,Chennai,2008,1,1,0,0,0,0,0,1,34,3,2,17,11,1,0,34,35,4,2,17,11,1,0,35
City,Coimbatore,2008,0,0,0,0,0,0,0,0,9,0,3,2,4,0,0,9,9,0,3,2,4,0,0,9
City,Delhi (city),2008,33,2,12,7,8,1,3,33,363,61,76,109,97,23,1,367,396,63,88,116,105,24,4,400
City,Dhanbad,2008,1,0,0,0,1,0,0,1,16,0,1,0,13,2,0,16,17,0,1,0,14,2,0,17
City,Faridabad,2008,1,0,0,1,0,0,0,1,45,0,0,5,33,6,1,45,46,0,0,6,33,6,1,46
City,Hyderabad,2008,2,2,0,0,0,0,0,2,60,0,25,10,20,5,0,60,62,2,25,10,20,5,0,62
City,Indore,2008,0,0,0,0,0,0,0,0,71,1,1,1,54,13,1,71,71,1,1,1,54,13,1,71
City,Jabalpur,2008,0,0,0,0,0,0,0,0,72,0,0,2,58,12,0,72,72,0,0,2,58,12,0,72
City,Jaipur,2008,1,0,0,1,0,0,0,1,59,3,9,8,33,6,0,59,60,3,9,9,33,6,0,60
City,Jamshedpur,2008,3,0,0,0,1,2,0,3,14,0,0,0,12,2,0,14,17,0,0,0,13,4,0,17
City,Kanpur,2008,0,0,0,0,0,0,0,0,72,3,6,23,33,7,0,72,72,3,6,23,33,7,0,72
City,Kochi,2008,0,0,0,0,0,0,0,0,12,1,1,7,5,0,0,14,12,1,1,7,5,0,0,14
City,Kolkata,2008,0,0,0,0,0,0,0,0,35,2,5,8,18,2,0,35,35,2,5,8,18,2,0,35
City,Lucknow,2008,0,0,0,0,0,0,0,0,41,1,7,16,14,3,0,41,41,1,7,16,14,3,0,41
City,Ludhiana,2008,0,0,0,0,0,0,0,0,44,5,2,8,26,3,0,44,44,5,2,8,26,3,0,44
City,Madurai,2008,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,4,4,0,0,1,3,0,0,4
City,Meerut,2008,0,0,0,0,0,0,0,0,19,1,2,13,3,0,0,19,19,1,2,13,3,0,0,19
City,Mumbai,2008,14,1,1,1,6,5,0,14,204,19,17,56,101,20,0,213,218,20,18,57,107,25,0,227
City,Nagpur,2008,3,1,0,0,2,0,0,3,50,2,3,31,9,5,0,50,53,3,3,31,11,5,0,53
City,Nasik,2008,1,0,0,0,0,0,1,1,13,1,0,2,10,0,0,13,14,1,0,2,10,0,1,14
City,Patna,2008,0,0,0,0,0,0,0,0,25,0,0,2,22,1,0,25,25,0,0,2,22,1,0,25
City,Pune,2008,2,0,1,1,0,0,0,2,90,4,11,38,28,8,1,90,92,4,12,39,28,8,1,92
City,Rajkot,2008,0,0,0,0,0,0,0,0,12,0,1,2,9,0,0,12,12,0,1,2,9,0,0,12
City,Surat,2008,1,0,0,1,0,0,0,1,27,4,3,4,6,10,0,27,28,4,3,5,6,10,0,28
City,Vadodara,2008,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,7,7,3,0,0,4,0,0,7
City,Varanasi,2008,0,0,0,0,0,0,0,0,8,0,2,4,2,0,0,8,8,0,2,4,2,0,0,8
City,Vijayawada,2008,0,0,0,0,0,0,0,0,30,5,5,15,4,1,0,30,30,5,5,15,4,1,0,30
City,Vishakhapatnam,2008,0,0,0,0,0,0,0,0,29,0,2,0,27,0,0,29,29,0,2,0,27,0,0,29
