States/UTs,State/UT-Wise Total Number of Road Accidents during 2016,State/UT-Wise Total Number of Road Accidents during 2017,State/UT-Wise Total Number of Road Accidents during 2018,State/UT-Wise Total Number of Road Accidents during 2019 - Numbers,State/UT-Wise Total Number of Road Accidents during 2019 - Rank,Share of States/UTs in Total Number of Road Accidents - 2016,Share of States/UTs in Total Number of Road Accidents - 2017,Share of States/UTs in Total Number of Road Accidents - 2018,Share of States/UTs in Total Number of Road Accidents - 2019,Total Number of Accidents Per Lakh Population - 2016,Total Number of Accidents Per Lakh Population - 2017,Total Number of Accidents Per Lakh Population - 2018,Total Number of Accidents Per Lakh Population - 2019,"Total Number of  Road Accidents per 10,000 Vehicles - 2016","Total Number of  Road Accidents per 10,000 Vehicles - 2017","Total Number of  Road Accidents per 10,000 Vehicles - 2018","Total Number of  Road Accidents per 10,000 Vehicles - 2019","Total Number of  Road Accidents per 10,000 Km of Roads - 2016","Total Number of  Road Accidents per 10,000 Km of Roads - 2017","Total Number of  Road Accidents per 10,000 Km of Roads - 2018(P)"
Uttar Pradesh,35612,38783,42568,42572,3,7.409102636,8.342044697,9.114344687,9.481472243,16.32918822,17.51170593,18.93350057,18.65949016,14.87778053,14.76590016,14.48146503,13.01416291,843.0632703,906.0276668,975.5851609
West Bengal,13580,11631,12705,10158,14,2.825328928,2.501774537,2.720300443,2.262350724,14.51630144,12.32959484,13.35835725,10.59504563,20.92969457,15.62136319,14.81552658,10.41736424,428.7559763,361.1365202,386.0223744
Andaman and Nicobar Islands,238,189,254,230,31,0.049516074,0.04065303,0.054384598,0.051224716,43.19419238,33.57015986,44.17391304,39.11564626,21.41655194,15.5480055,19.36876139,16.30615877,1594.3194,1168.920808,1415.830546
Chandigarh,428,342,316,305,29,0.089045713,0.073562625,0.067659578,0.067928428,24.04494382,18.39698763,16.2802679,15.03944773,5.113885513,3.874085427,3.323558985,3.015979748,1517.20862,1212.422008,1244.584482
Dadra and Nagar Haveli,70,67,80,68,34,0.014563551,0.014411391,0.017129007,0.015144699,16.58767773,15.33180778,17.69911504,14.52991453,6.646284727,6.019009289,6.807004408,5.50509221,617.433681,564.5295152,673.9679865
Daman and Diu,71,79,76,69,33,0.014771602,0.016992536,0.016272557,0.015367415,21.51515152,22.96511628,21.16991643,18.44919786,6.728135927,6.799851953,NA,NA,1432.578035,1853.150708,2076.502732
Delhi,7375,6673,6515,5610,19,1.534374142,1.43533157,1.394943517,1.249437642,34.64881372,30.47588601,28.92598677,24.21861509,7.599378489,6.503865672,6.096545893,4.924702527,4184.423279,3731.620177,3702.546033
Lakshadweep,1,1,3,1,36,0.000208051,0.000215095,0.000642338,0.000222716,1.234567901,1.219512195,3.614457831,1.19047619,0.624687656,0.552883286,1.658649859,0.552883286,47.81028877,47.09650073,133.9285714
Puducherry,1766,1693,1597,1392,23,0.367417591,0.364156503,0.341937805,0.310020891,105.8118634,97.69186382,88.82091212,74.51820128,20.45608024,18.19780465,16.00423305,13.10044901,5564.707528,5221.785548,3720.009317
Total ,480652,464910,467044,449002,NA,100,100,100,100,37.87760223,36.21919896,35.98062622,34.21642823,20.89513326,18.35332453,17.10861185,15.10826555,1021.947721,1021.947721,930.253312
