Titile,Year,Total_episodes,Age,Rating,Vote_count,Category
240. Wentworth Prison,2013ñ2021,100 eps,18,8.6,(25K),TV Series
241. Avrupa Yakasi,2004ñ2009,190 eps,,8.6,(21K),TV Series
242. Umbre,2014ñ2019,21 eps,TV-MA,8.7,(12K),TV Series
243. Alchemy of Souls,2022ñ,30 eps,12,8.7,(18K),TV Series
244. Gintama,2005ñ2021,375 eps,TV-14,8.7,(15K),TV Series
245. Westworld,2016ñ2022,36 eps,18,8.5,(536K),TV Series
246. Your Lie in April,2014ñ2015,24 eps,12,8.5,(39K),TV Series
247. Community,2009ñ2015,110 eps,12,8.5,(295K),TV Series
248. Tear Along the Dotted Line,2021,6 eps,15,8.6,(15K),TV Mini Series
249. Chef's Table,2015ñ2019,30 eps,15,8.5,(17K),TV Series
250. Sapne Vs Everyone,2023ñ,5 eps,Mature,9.4,(67K),TV Series
