,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
1071,The 5th Quarter,4.6,584,Prime Video,2011,,Rick Bieber,"Andie MacDowell,Aidan Quinn",
1072,Death on the Nile,4.7,2558,Prime Video,1978,PG,John Guillermin,"Peter Ustinov,Bette David,Mia Farrow,Jane Birkin",
1073,Life Without Hope,4.0,27,Prime Video,2020,,Leo Sullivan,"Andra Fuller,Michael Finn,Erica Page,Maurice Johnson",
1074,Annabelle Comes Home,4.5,23315,Prime Video,2019,R,Gary Dauberman,"Vera Farmiga,Patrick Wilson,Mckenna Grace",3.79
1075,Transformers: Dark of the Moon,4.7,12563,Prime Video,2011,PG-13,---,"Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson",3.39
1076,Brick Mansions,4.5,2337,Prime Video,2014,PG-13,Not Specified,"Paul Walker,Robert Maillet,Rza,David Belle",2.99
1077,Silver Linings Playbook,4.6,10633,Prime Video,2012,R,David O. Russell,"Bradley Cooper,Jennifer Lawrence,Robert De Niro",3.99
1078,Double Jeopardy,4.8,4806,Prime Video,1999,R,---,"Tommy Lee Jones,Ashley Judd,Bruce Greenwood",4.29
1079,21 Grams,4.3,957,Prime Video,2004,R,Alejandro Gonzalez Inarritu,"Naomi Watts,Benicio Del Toro,Sean Penn,Clea DuVall",3.79
1080,Halloween 5,4.6,2852,Prime Video,1989,R,Dominique Othenin-Girard,"Donald Pleasence,Don Shanks,Danielle Harris",
1081,Silent Fall,4.0,353,Prime Video,1994,R,Bruce Beresford,"Richard Dreyfuss,Linda Hamilton,John Lithgow",
1082,Resident Evil: Welcome to Raccoon City,4.0,13345,Prime Video,2021,R,Johannes Roberts,"Kaya Scodelario,Hannah John-Kamen,Robbie Amell",3.99
1083,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,4.8,2418,Prime Video,1991,PG,Michael Pressman,"David Warner,Mark Caso,Paige Turco,Michelan Sisti",3.99
1084,Gone,4.4,1970,Prime Video,2012,PG-13,Heitor Dhalia,"Amanda Seyfried,Jennifer Carpenter,Wes Bentley",
1085,The Hobbit: An Unexpected Journey,4.8,40368,Prime Video,2012,PG-13,Peter Jackson,"Ian Mckellen,Martin Freeman,Richard Armitage",
1086,Goldeneye,4.6,3746,Prime Video,1995,PG-13,Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco",3.89
1087,Paper Soldiers,4.5,798,Prime Video,2002,R,"Damon Dash,David Daniel","Kevin Hart,Beanie Sigel,Damon Dash,Stacey Dash",3.79
1088,Cloudy with a Chance of Meatballs,4.7,6720,Prime Video,2009,PG,"Phil Lord,Christopher Miller","Anna Faris,Bill Hader,Bruce Campbell,James Caan",
1089,Buffaloed,4.1,885,Prime Video,2019,,Tanya Wexler,"Zoey Deutch,Judy Greer,Jai Courtney,Jermaine Fowler",2.99
1090,Life Without Hope,4.0,27,Prime Video,2020,,Leo Sullivan,"Andra Fuller,Michael Finn,Erica Page,Maurice Johnson",
1091,The Remaining,4.2,5385,Prime Video,2014,PG-13,Casey Lascala,"Johnny Pacar,Shaun Sipos,Bryan Dechart,Alexa Vega",3.99
1092,Saving Private Ryan,4.8,32111,Prime Video,1998,,Steven Spielberg,"Tom Hanks,Edward Burns,Matt Damon,Tom Sizemore",3.79
1093,A Father's Legacy,4.6,303,Prime Video,2021,,Jason Mac,"Tobin Bell,Jason Mac,Gregory Alan Williams,Kurt Yue",
1094,Inside a Cult: Messiah on Trial,4.1,60,Prime Video,2009,,Ben Anthony,Michael Travesser,
1095,Death on the Nile,4.7,2558,Prime Video,1978,PG,John Guillermin,"Peter Ustinov,Bette David,Mia Farrow,Jane Birkin",
1096,Phantasm: Remastered,4.4,1451,Prime Video,1979,R,Don Coscarelli,"A. Michael Baldwin,Bill Thornbury,Reggie Bannister",
1097,Phantoms,4.4,1345,Prime Video,1998,R,Joe Chappelle,"Joanna Going,Peter O'Toole,Rose McGowan",2.49
1098,Make Up,4.0,260,Prime Video,2021,,Claire Oakley,"Molly Windsor,Stefanie Martini,Joseph Quinn",3.99
1099,"Little Death, The",4.5,4,Prime Video,1996,R,,"Verheyen,Jan",
1100,Pinkfong and Baby Shark's Space Adventure,4.5,110,Prime Video,2016,,,Pinkfong,1.99
1101,The Hobbit: An Unexpected Journey,4.8,40368,Prime Video,2012,PG-13,Peter Jackson,"Ian Mckellen,Martin Freeman,Richard Armitage",
1102,Acts of Violence,4.2,2266,Prime Video,2018,R,Brett Donowho,"Bruce Willis,Cole Hauser,Shawn Ashmore,Ashton Holmes",3.99
1103,Scary Movie 2,4.6,6503,Prime Video,2001,R,Keenen Ivory Wayans,"Shawn Wayans,Marlon Wayans,Anna Faris,Regina Hall",
1104,Annabelle Comes Home,4.5,23315,Prime Video,2019,R,Gary Dauberman,"Vera Farmiga,Patrick Wilson,Mckenna Grace",3.79
1105,Prairie Fever,4.4,109,Prime Video,2008,,Stephen Bridgewater,"Kevin Sorbo,Lance Henriksen,Felicia Day",
1106,Evil Dead,4.6,13369,Prime Video,2013,,Fede Alvarez,"Jane Levy,Rupert Degas,Bob Dorian,Jessica Lucas",3.59
1107,Edward Scissorhands,4.8,15706,Prime Video,1990,PG-13,Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest",
1108,Brick Mansions,4.5,2337,Prime Video,2014,PG-13,Not Specified,"Paul Walker,Robert Maillet,Rza,David Belle",2.99
1109,Hoopties,5.0,3,Prime Video,2023,,Jeremy Berger,"Chris Abbot,Christine Mittura",
1110,Trust,4.4,425,Prime Video,2011,R,David Schwimmer,"Clive Owen,Viola Davis,Jason Clarke,Catherine Keener",
1111,Princess of the Row,4.6,232,Prime Video,2020,,Van Maximilian Carlson,"Edi Gathegi,Tayler Buck,Ana Ortiz,Jacob Vargas",2.99
1112,Fantastic Beasts: The Secrets of Dumbledore,4.4,20077,Prime Video,2022,PG-13,David Yates,"Jude Law,Eddie Redmayne,Mads Mikkelsen,Ezra Miller",3.79
1113,Thiruchitrambalam,4.5,2,Prime Video,2022,,Mithran Jawahar,"Dhanush,Nithya Menen,Raashi Khanna",
1114,Harry Potter: 8-Film Collection [4K Ultra HD + Blu-ray] [4K UHD],4.8,86512,4K,,,"Chris Columbus,Alfonso Cuarón,Mike Newell,David Yates","Daniel Radcliffe,Rupert Grint,Emma Watson",95.99
1115,The Last Airbender,4.3,10,Prime Video,2010,PG,,Not Specified,
1116,Always At The Carlyle,4.5,711,Prime Video,2018,PG-13,Matthew Miele,"George Clooney,Anthony Bourdain,Jeff Goldblum",
1117,Saturday Night Fever,4.6,8870,Prime Video,1977,R,John Badham,"John Travolta,Karen Lynn Gorney,Barry Miller",3.79
1118,Shrapnel,4.0,270,Prime Video,2023,R,William Kaufman,"Jason Patric,Cam Gigandet,Kesia Elwin",3.99
1119,Swordfish,4.6,1562,Prime Video,2001,,Dominic Sena,"John Travolta,Hugh Jackman,Halle Berry,Don Cheadle",3.99
1120,Do You Like Broccoli Ice Cream? & More Kids Songs - Super Simple Songs,4.3,187,Prime Video,2017,,,Super Simple Songs,0.99
1121,Moonraker,4.6,2555,Prime Video,1979,PG,Lewis Gilbert,"Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel",3.99
1122,The Man with the Golden Gun,4.6,1989,Prime Video,1974,PG,Guy Hamilton,"Roger Moore,Christopher Lee,Britt Ekland",3.99
1123,Support Your Local Gunfighter,4.7,1723,Prime Video,1971,G,Burt Kennedy,"James Garner,Jack Elam,Suzanne Pleshette,Harry Morgan",
1124,The Conjuring 2,4.6,19557,Prime Video,2016,R,James Wan,"Patrick Wilson,Vera Farmiga",2.89
1125,Nanny McPhee Returns,4.7,3965,Prime Video,2010,PG,Susanna White,"Emma Thompson,Maggie Gyllenhaal,Rhys Ifans",3.99
1126,A Monster In Paris,4.7,2254,Prime Video,2012,,Bilbo Bergeron,"Matthieu Chedid,Vanessa Paradis,Gad Elmaleh",
1127,Wild Prairie Rose,4.4,157,Prime Video,2016,,Deborah LaVine,"Tara Samuel,Troy Kotsur,Suanne Spoke",
1128,The Notebook,4.8,34346,Prime Video,2004,PG-13,Nick Cassavetes,"Ryan Gosling,Rachel McAdams,James Garner",3.99
1129,Spoiler Alert,4.6,688,Prime Video,2022,PG-13,Michael Showalter,"Jim Parsons,Ben Aldridge,Sally Field,Bill Irwin",3.99
1130,The Woman Who Wasn't There,4.1,360,Prime Video,2012,,Angelo J. Guglielmo Jr.,Tania Head,2.99
1131,The Queen's Corgi,4.0,3180,Prime Video,2020,PG,"Vincent Kesteloot,Ben Stassen","Leo Barakat,Jo Wyatt,Dino Andrade",0.99
1132,Messenger of Death,4.1,169,Prime Video,1988,R,J. Lee Thompson,"Charles Bronson,Trish Van Devere,Lawrence Luckinbill",
1133,The Substitute,4.6,1079,Prime Video,1996,R,Robert Mandel,"Tom Berenger,Raymond Cruz,William Forsythe",
1134,Book Club,4.5,8433,Prime Video,2018,PG-13,Bill Holderman,"Diane Keaton,Jane Fonda,Candice Bergen",3.09
1135,Failure to Launch,4.6,2793,Prime Video,2006,,Tom Dey,"Matthew McConaughey,Sarah Jessica Parker",2.89
1136,Scream,4.4,32182,Prime Video,1996,,Wes Craven,"Neve Campbell,David Arquette,Courteney Cox Arquette",3.79
1137,Kingdom of Heaven,4.6,8829,Prime Video,2005,R,Ridley Scott,"Orlando Bloom,Eva Green,Liam Neeson,Jeremy Irons",3.79
1138,The Courier,4.5,12201,Prime Video,2021,PG-13,Dominic Cooke,"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan",3.79
1139,War of The Worlds (2005),4.6,15618,Prime Video,2005,PG-13,Steven Spielberg,"Tom Cruise,Dakota Fanning,Miranda Otto,Tim Robbins",3.99
1140,Bats,4.3,675,Prime Video,1999,PG-13,Louis Morneau,"Lou Diamond Phillips,Dina Meyer,Bob Gunton,Leon",
1141,The Forger,4.4,659,Prime Video,2015,R,Philip Martin,"John Travolta,Christpher Plummer,Tye Sheridan",3.99
1142,Tomorrow Never Dies,4.6,2721,Prime Video,1997,PG-13,Roger Spottiswoode,"Pierce Brosnan,Michelle Yeoh,Teri Hatcher",
1143,Farewell My Love,4.5,6,Prime Video,2000,,Randall Fontana,"Gabrielle Fitzpatrick,Phillip Rhys Chaudhary",
1144,Lavell Crawford: The Comedy Vaccine (Extended Edition),4.3,1785,Prime Video,2021,,Brian Volk-Weiss,Lavell Crawford,0.99
1145,The Reef,4.5,758,Prime Video,2007,G,"Howard E. Baker,John Fox","Freddie Prinze Jr.,Rob Schneider,Evan Rachel Wood",
1146,Sinister,4.4,16662,Prime Video,2012,R,Scott Derrickson,"Ethan Hawke,Juliet Rylance,James Ransone,Clare Foley",3.79
1147,Nanny McPhee,4.8,6134,Prime Video,2006,,Kirk Jones,"Emma Thompson,Colin Firth,Angela Lansbury",3.99
1148,Resident Evil: The Final Chapter,4.6,19280,Prime Video,2017,,Paul W.S. Anderson,"Milla Jovovich,Iain Glen,Ali Larter,Shawn Roberts",3.89
1149,Autumn in New York,4.5,1534,Prime Video,2000,PG-13,Joan Chen,"Richard Gere,Winona Ryder,Anthony LaPaglia",
1150,The Electrical Life Of Louis Wain,4.4,1243,Prime Video,2021,PG-13,Will Sharpe,"Benedict Cumberbatch,Claire Foy,Andrea Riseborough",
1151,Beyond the Law,4.2,1373,Prime Video,2019,,James Cullen Bressack,"DMX,Steven Seagal,Johnny Messner,Bill Cobbs",
1152,Chick Fight,4.0,6825,Prime Video,2020,R,Paul Leyden,"Malin Akerman,Alec Baldwin,Bella Thorne",1.99
1153,Batman & Robin,4.5,4664,Prime Video,1997,PG-13,Joel Schumacher,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell",3.79
1154,Navy Seals,4.6,520,Prime Video,1990,R,,Lewis Teague,
1155,Spinning Man,4.0,1053,Prime Video,2018,R,Simon Kaijser,"Pierce Brosnan,Guy Pearce,Minnie Driver,Jamie Kennedy",
1156,Annabelle: Creation,4.5,15956,Prime Video,2017,R,David Sandberg,"Stephanie Sigman,Talitha Bateman,Lulu Wilson",
1157,Book Club: The Next Chapter,4.4,2758,Prime Video,2023,PG-13,Bill Holderman,"Diane Keaton,Jane Fonda,Candice Bergen,Andy Garcia",5.99
1158,The Jewel of the Nile,4.6,2391,Prime Video,1985,PG,Lewis Teague,"Michael Douglas,Kathleen Turner",
1159,The Knight of Shadows,4.1,510,Prime Video,2020,,Vash,"Jackie Chan,Elane Zhong,Ethan Juan",
1160,Madagascar: Escape 2 Africa,4.7,3958,Prime Video,2008,PG,"Eric Darnell,Tom McGrath","Ben Stiller,Chris Rock,David Schwimmer",3.99
1161,Season of the Witch,4.4,2901,Prime Video,2011,PG-13,Dominic Sena,"Nicolas Cage,Ron Perlman,Claire Foy",
1162,Trick 'r Treat,4.6,22323,Prime Video,2008,R,Michael Dougherty,"Anna Paquin,Brian Cox,Dylan Baker,Rochelle Aytes",
1163,Shutter Island,4.6,14415,Prime Video,2010,R,Martin Scorsese,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",3.59
1164,The Ring,4.5,5011,Prime Video,2002,PG-13,Gore Verbinski,"Naomi Watts,Martin Henderson,Brian Cox,David Dorfman",3.79
1165,The Woman in Black,4.4,8485,Prime Video,2012,PG-13,James Watkins,"Daniel Radcliffe,Janet McTeer,Molly Harmon",
1166,The Cat in the Hat Knows a Lot About Halloween!,4.6,303,Prime Video,2016,G,Tony Collingwood,"Alexa Torrington,Jacob Ewaniuk,Martin Short",2.99
1167,Summer of 84,4.3,4428,Prime Video,2018,R,"Francois Simard,Anouk Whissell,Yoann-Karl Whissell","Graham Verchere,Judah Lewis,Caleb Emery",1.99
1168,Retreat To Paradise,4.2,67,Prime Video,2020,,Brian Brough,"Melanie Stone,Casey Elliott,Brian Krause,Jaclyn Hales",
1169,The Lord of The Rings: The Fellowship of the Ring (Extended Edition),4.8,46056,Prime Video,2001,PG-13,Peter Jackson,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen",14.99
1170,The Book of Life,4.8,16734,Prime Video,2014,PG,Jorge Gutierrez,"Christina Applegate,Ice Cube,Kate del Castillo",
1171,The Matrix: Resurrections,4.0,4298,Prime Video,2021,R,Lana Wachowski,"Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II",3.79
1172,Black Mass,4.5,9430,Prime Video,2015,R,Scott Cooper,"Johnny Depp,Benedict Cumberbatch,Dakota Johnson",
1173,Gone,4.4,1970,Prime Video,2012,PG-13,Heitor Dhalia,"Amanda Seyfried,Jennifer Carpenter,Wes Bentley",
1174,The Mist,4.5,13833,Prime Video,2007,R,Frank Darabont,"Thomas Jane,Marcia Gay Harden,Laurie Holden",
1175,The Sandlot,4.9,27905,Prime Video,1993,PG,"David Mickey Evans,David J. Evans,David M. Evans","Tom Guiry,Mike Vitar,Patrick Renna,Chauncey Leopardi",3.79
1176,Of an Age,4.4,101,Prime Video,2023,R,Goran Stolevski,"Elias Anton,Thom Green,Hattie Hook",5.99
1177,Tyler Perry's I Can Do Bad All By Myself,4.8,1348,Prime Video,2009,PG-13,Tyler Perry,"Tyler Perry,Taraji P. Henson",
1178,Barbie (Blu-Ray + Digital),4.5,1639,Blu-ray,,,greta gerwig,"margot robbie,ryan gosling,will ferrell",24.96
1179,The Gambler,4.1,6453,Prime Video,2014,R,,Rupert Wyatt,
1180,Red Dragon,4.7,8030,Prime Video,2002,R,Brett Ratner,"Anthony Hopkins,Edward Norton,Ralph Fiennes",3.79
1181,Madea Gets A Job ( Stage Play),5.0,1,Prime Video,2013,,Tyler Perry,"Tyler Perry,Patrice Lovely",
1182,Recoil,4.4,500,Prime Video,2012,,Terry Miles,"Steve Austin,Danny Trejo,Serinda Swan",1.99
1183,Legion,4.6,5173,Prime Video,2010,R,Scott Stewart,"Paul Bettany,Lucas Black,Tyrese Gibson",3.59
1184,Queen Bees,4.4,17100,Prime Video,2021,PG-13,Michael Lembeck,"Ellen Burstyn,James Caan,Ann-Margret,Jane Curtin",3.99
1185,Peace by Chocolate,4.5,74,Prime Video,2022,,Jonathan Keijser,"Hatem Ali,Ayham Abou Ammar,Mark Camacho,Yara Sabri",1.99
1186,Christmas Belle,4.6,373,Prime Video,2013,,Alex Wright,"Haylie Duff,Nicholas Gonzalez,Mark Famiglietti",
1187,Henry VII: The Winter King,4.0,135,Prime Video,2013,PG,,Stuart Elliott,
1188,Belly,4.7,6679,Prime Video,1998,R,Hype Williams,"Nas,Dmx,Taral Hicks,Hassan Johnson",3.99
1189,The Sons of Katie Elder,4.8,2964,Prime Video,1965,,Henry Hathaway,"John Wayne,Dean Martin,Martha Hyer",3.59
1190,Looking For Her,4.7,29,Prime Video,2022,,Alexandra Swarens,"Olivia Buckle,Alexandra Swarens,Sophie Arrick-Lewis",
1191,Dino King,4.3,149,Prime Video,2013,,Han Sang-ho,Goo Ja-hyeong,
1192,Devil's Pond,4.3,190,Prime Video,2005,R,Joel Viertel,"Kip Pardue,Tara Reid,Meredith Baxter,Dan Gunther",
1193,Country Remedy,4.2,2317,Prime Video,2007,,Andrew C. Erin,"Cameron Bancroft,Bellamy Young,Aidan Mitchell",
1194,Curious George: A Halloween Boo Fest,4.9,3104,Prime Video,2013,,"Scott Heming,Andrei Svislotski","Frank Welker,Jeff Bennett,Carlos Alazraqui",7.99
1195,Undiscovered Disney Parks,4.2,140,Prime Video,2006,,Lightship Entertainment,"Mickey Mouse,Walt Disney",
1196,Imagine That,4.5,844,Prime Video,2009,PG,---,"Eddie Murphy,Thomas Haden Church,Yara Shahidi",3.79
1197,The Marriage Fool (Restored),4.0,38,Prime Video,1998,,Charles Matthau,"Walter Matthau,Carol Burnett,John Stamos,Teri Polo",1.99
1198,The Shining,4.7,32282,Prime Video,1980,R,Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd",3.79
1199,Alien Vs. Predator,4.6,7726,Prime Video,2004,PG-13,"Paul Anderson,Paul W.S. Anderson","Lance Henriksen,Sanaa Lathan,Raoul Bova,Ewen Bremner",3.79
1200,See Jane Date,4.2,110,Prime Video,,,Robert Berlinger,"Charisma Carpenter,Zachary Levi",
1201,Legend of the Lost,4.5,519,Prime Video,1957,,Henry Hathaway,"John Wayne,Sophia Loren,Rossano Brazzi",
1202,Ghost In the Shell,4.7,3256,Prime Video,1996,,Mamoru Oshii,"Richard Epcar,Christopher Joyce,William Knight",
1203,School Ties,4.7,1381,Prime Video,1992,,Robert Mandel,"Brendan Fraser,Matt Damon,Chris O'Donnell,Ben Affleck",3.99
1204,Eye for an Eye,4.7,1936,Prime Video,1996,,,John Schlesinger,
1205,Young Billy Young,4.2,151,Prime Video,1969,G,Burt Kennedy,"Robert Mitchum,Angie Dickinson,Robert Walker",
1206,SAPPY HOLIDAY,4.8,74,Prime Video,2022,PG,Andrew Cymek,"Brigitte Kingsley,Jon McLaren,Troy Blundell",
1207,Mistaken,4.0,5,Prime Video,2017,,Alfred Robbins,"Nadia Kounda,James Whalen,Chantal Nchako",1.99
1208,Spider-Man: Into the Spider-Verse,4.8,66164,Prime Video,2018,PG,"Bob Persichetti,Peter Ramsey,Rodney Rothman","Shameik Moore,Jake M. Johnson,Hailee Steinfeld",3.59
1209,Pimp,4.1,2146,Prime Video,2018,,Christine Crokos,"Keke Palmer,Edi Gathegi,Aunjanue Ellis,Vanessa Morgan",2.99
1210,Days of Thunder,4.7,7032,Prime Video,1990,PG-13,Tony Scott,"Tom Cruise,Robert Duvall,Randy Quaid,Nicole Kidman",3.79
1211,The Layover,4.1,538,Prime Video,2017,R,William H. Macy,"Kate Upton,Alexandra Daddario,Matt Barr,Matt Jones",7.99
1212,Man on Fire,4.8,15269,Prime Video,2004,R,Tony Scott,"Denzel Washington,Dakota Fanning,Christopher Walken",
1213,CoComelon - JJ's Animal Time,4.5,10,Prime Video,2022,,,Moonbug Entertainment,1.99
1214,Take Me Home,4.1,3545,Prime Video,2011,PG-13,Sam Jaeger,"Bree Turner,Lin Shaye,Victor Garber,Sam Jaeger",
1215,"Sex, Love, Misery: New New York",5.0,9,Prime Video,2022,,Shannon Alexander,"Aisha Kerensa,Camila Sanchez,Emile Filippi",
1216,Batman Returns,4.7,6906,Prime Video,1992,PG-13,Tim Burton,"Michael Keaton,Michelle Pfeiffer,Christopher Walken",3.99
1217,Jeff Dunham: Arguing with Myself,4.8,2394,Prime Video,2006,,Manny Rodriguez,Jeff Dunham,
1218,Nazi Death Marches,5.0,1,Prime Video,2023,,Virginie Linhart,Caroline Ferrus,
1219,Dancing Detective: A Deadly Tango,4.7,5,Prime Video,2023,,Stefan Scaini,"Lacey Chabert,Will Kemp",
1220,Runaway Train,4.6,1025,Prime Video,1985,R,,Andrei Konchalovsky,
1221,The LEGO Movie,4.7,24419,Prime Video,2014,PG,"Phil Lord,Christopher Miller","Chris Pratt,Will Ferrell,Elizabeth Banks,Will Arnett",3.99
1222,Thirteen Lives,4.8,1689,Prime Video,2022,PG-13,Ron Howard,"Viggo Mortensen,Colin Farrell,Joel Edgerton",
1223,Stuck in Love,4.6,672,Prime Video,2013,R,Josh Boone,"Greg Kinnear,Jennifer Connelly,Kristen Bell",
1224,Get a Job,4.1,1058,Prime Video,2016,R,Dylan Kidd,"MilesTeller,Bryan Cranston,Anna Kendrick,Alison Brie",3.79
1234,Hatchet,4.3,2104,Prime Video,2007,R,Adam Green,"Joel David Moore,Deon Richmond,Mercedes McNab",
1235,The Couch Trip,4.4,138,Prime Video,1988,R,Michael Ritchie,"Dan Aykroyd,Walter Matthau,Charles Grodin,Donna Dixon",
1236,Tim Burton's The Nightmare Before Christmas,4.8,55248,Prime Video,1993,PG,Henry Selick,"Chris Sarandon,Catherine O'Hara,William Hickey",3.79
1237,Dr. No HD,4.4,11,Prime Video,1963,PG,Terence Young,"Sean Connery,Joseph Wiseman",
1238,Aloha,4.3,6446,Prime Video,2015,,Cameron Crowe,"Emma Stone,Rachel McAdams,Ivana Milicevic",3.99
1239,Star Trek (2009),4.8,28619,Prime Video,2009,PG-13,J.J. Abrams,"John Cho,Ben Cross,Bruce Greenwood,Simon Pegg",3.79
1240,Transformers: Revenge of the Fallen,4.7,20219,Prime Video,2009,PG-13,Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson",
1241,The Far Pavilions,4.5,603,Prime Video,1984,,Peter Duffell,"Omar Sharif,Ben Cross,Amy Irving,Christopher Lee",2.99
1242,Triggered,4.0,285,Prime Video,2020,,Alastair Orr,"Reine Swart,Liesl Ahlers,Russel Crous",
1243,Hot Tub Time Machine 2,4.2,6849,Prime Video,2015,R,Steve Pink,"Rob Cordry,Craig Robinson,Clark Duke,Adam Scott",4.29
1244,Spider-Man Across The Spider-Verse: Sneak Peek,5.0,2,Prime Video,2023,PG,"Joaquim Dos Santos,Kemp Powers,Justin K. Thompson","Shameik Moore,Hailee Steinfeld,Jake Johnson,Issa Rae",
1245,Robots,4.8,13137,Prime Video,2005,PG,"Chris Wedge,Carlos Saldanha","Ewan McGregor,Halle Berry,Greg Kinnear,Mel Brooks",3.79
1246,Humpty Dumpty & More Kids Songs - Super Simple Songs,4.4,105,Prime Video,2017,,,Super Simple Songs,0.99
1247,A View to a Kill,4.6,2098,Prime Video,1985,PG,John Glen,"Roger Moore,Christopher Walken,Tanya Roberts",
1248,Stuck in Love,4.6,672,Prime Video,2013,R,Josh Boone,"Greg Kinnear,Jennifer Connelly,Kristen Bell",
1249,Once Upon a Time in the West,4.7,6548,Prime Video,1969,PG-13,Sergio Leone,"Henry Fonda,Claudia Cardinale,Jason Robards",3.79
1250,The Couch Trip,4.4,138,Prime Video,1988,R,Michael Ritchie,"Dan Aykroyd,Walter Matthau,Charles Grodin,Donna Dixon",
1251,The Retrievers,4.3,100,Prime Video,2001,,Paul Schneider,"Robert Hays,Mei Harris,Alan Rachins",
1252,Once Upon a Time in the West,4.7,6548,Prime Video,1969,PG-13,Sergio Leone,"Henry Fonda,Claudia Cardinale,Jason Robards",3.79
1253,Tomorrow Never Dies,4.6,2721,Prime Video,1997,PG-13,Roger Spottiswoode,"Pierce Brosnan,Michelle Yeoh,Teri Hatcher",
1254,Hatchet,4.3,2104,Prime Video,2007,R,Adam Green,"Joel David Moore,Deon Richmond,Mercedes McNab",
1255,The Fire That Took Her,4.9,9,Prime Video,2022,,,Patricia E. Gillespie,19.99
1256,Sabrina The Teenage Witch,4.4,92,Prime Video,1996,PG,Tibor Takács,"Melissa Joan Hart,Ryan Reynolds,Sherry Miller",
1257,Stan Helsing,4.3,705,Prime Video,2009,R,Bo Zenga,"Steve Howey,Kenan Thompson,Leslie Nielsen,Diora Baird",
1258,Skin Trade,4.1,316,Prime Video,2015,R,Ekachai Uekrongtham,"Dolph Lundgren,Tony Jaa,Michael Jai White,Ron Perlman",2.99
1259,Beverly Hills Cop,4.8,7442,Prime Video,1984,R,Martin Brest,"Eddie Murphy,Judge Reinhold,John Ashton",3.99
1260,The Gate,4.7,2045,Prime Video,1987,PG-13,Tibor Takacs,"Stephen Dorff,Christa Denton,Louis Tripp",
1261,FLU,4.2,1425,Prime Video,2013,,Sung-su Kim,"Hyuk Jang,Soo Ae,In-Pyo Cha,Hee-joon Lee",3.99
1262,The Suicide Squad,4.2,14797,Prime Video,2021,R,James Gunn,"Margot Robbie,Idris Elba,John Cena,Joel Kinnaman",
1263,Elf,4.8,123979,Prime Video,2003,PG,Jon Favreau,"Will Ferrell,James Caan,Bob Newhart,Ed Asner",3.99
1264,In The Blood,4.3,1209,Prime Video,2014,R,John Stockwell,"Gina Carano,Danny Trejo,Cam Gigandet,Treat Williams",
1265,Underdogs,4.5,125,Prime Video,2013,PG,Doug Dearth,"D. B. Sweeney,Logan Huffman,Charlie Carver",
1266,The Secret,4.6,11374,Prime Video,2006,,Drew Heriot,"Rhonda Byrne,John Assaraf,Michael Beckwith,Lee Brower",2.99
1267,Transformers: Revenge of the Fallen,4.7,20219,Prime Video,2009,PG-13,Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson",
1268,Body of Lies,4.8,9,Prime Video,2008,R,Ridley Scott,"Leonardo DiCaprio,Russell Crowe,Mark Strong",
1269,"Map of Tiny Perfect Things, The",4.5,2119,Prime Video,2021,PG-13,Ian Samuels,"KATHRYN NEWTON,KYLE ALLEN,AL MADRIGAL,JERMAINE HARRIS",
1270,Rollerball (2002),4.3,498,Prime Video,2002,,,John McTiernan,
1271,The Mandela Effect,4.0,1476,Prime Video,2019,,David Guy Levy,"Charlie Hofheimer,Aleksa Palladino,Robin Lord Taylor",
1272,Tyler Perry's Madea Goes to Jail - The Play,4.7,3784,Prime Video,2009,,Tyler Perry,"Cheryl Pepsii Riley,Cassi Davis,LaVan Davis",3.79
1273,Falling for Vermont,4.8,270,Prime Video,2017,,David Winning,"Julie Gonzalo,Benjamin Ayres",0.99
1274,Annabelle,4.5,23599,Prime Video,2014,R,John R. Leonetti,"Annabelle Wallis,Ward Horton,Alfre Woodard",3.99
1275,Desperation Road,4.4,8,Prime Video,2023,R,Nadine Crocker,"Garrett Hedlund,Willa Fitzgerald,Ryan Hurst",6.99
1276,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),4.2,91643,Prime Video,2020,R,Cathy Yan,"Margot Robbie,Mary Elizabeth Winstead",
1277,"Sex, Love, Misery: New New York",5.0,9,Prime Video,2022,,Shannon Alexander,"Aisha Kerensa,Camila Sanchez,Emile Filippi",
1278,A Turtle's Tale 2: Sammy's Escape From Paradise,4.3,408,Prime Video,2013,,"Vincent Kesteloot, Ben Stassen, Mimi Maynard",Khary Payton,
1279,Heal,4.4,1573,Prime Video,2017,,"Kelly Noonan Gores,Adam Schomer","Dr. Deepak Chopra,Dr. Joe Dispenza,Anita Moorjani",2.99
