,title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
64,Harlem Nights,4.8,7235,Prime Video,1989,R,Eddie Murphy,"Eddie Murphy,Richard Pryor,Redd Foxx,Danny Aiello",
65,Godzilla vs. Kong,4.6,40533,Prime Video,2021,PG-13,Adam Wingard,"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",3.99
66,The Black Phone,4.4,33531,Prime Video,2022,R,Scott Derrickson,"Ethan Hawke,Mason Thames,Madeleine McGraw",4.29
67,Transformers: Rise of the Beasts,4.5,12062,Prime Video,2023,PG-13,Steven Caple,"Anthony Ramos,Dominique Fishback",5.99
68,Suicide Squad (2016),4.5,42476,Prime Video,2016,PG-13,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman",3.79
69,Air,4.7,1332,Prime Video,2023,R,Ben Affleck,"Matt Damon,Ben Affleck,Viola Davis",
70,Red Sparrow,4.4,15554,Prime Video,2018,R,Francis Lawrence,"Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts",
71,The Bourne Identity,4.8,13372,Prime Video,2002,PG-13,Doug Liman,"Matt Damon,Franka Potente,Chris Cooper,Clive Owen",3.59
72,Nope,4.1,24433,Prime Video,2022,R,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Steven Yeun",3.99
73,Everything is Both,4.5,135,Prime Video,2023,,Ceth Watson,"Jason Mitchell,Barton Fitzpatrick",
74,Memory,4.4,10525,Prime Video,2022,,Martin Campbell,"Liam Neeson,Guy Pearce,Monica Bellucci,Taj Atwal",3.99
75,Freaky,4.3,23990,Prime Video,2020,R,Christopher Landon,"Vince Vaughn,Kathryn Newton,Katie Finneran",
76,Nobody,4.6,86741,Prime Video,2021,R,Ilya Naishuller,"Bob Odenkirk,Connie Nielsen,Alexey Serebryakov,RZA",
77,The Rebound,4.5,470,Prime Video,2012,R,Bart Freundlich,"Catherine Zeta-Jones,Justin Bartha,Andrew Cherry",
78,Mama,4.5,11453,Prime Video,2013,PG-13,Andres Muschietti,"Jessica Chastain,Nikolaj Coster-Waldau",3.99
79,The Magic Of Belle Isle,4.8,7074,Prime Video,2012,PG,Rob Reiner,"Morgan Freeman,Virginia Madsen",2.99
80,Operation Fortune: Ruse de Guerre,4.2,4367,Prime Video,2023,R,Guy Ritchie,"Josh Hartnett,Jason Statham,Cary Elwes,Eddie Marsan",
81,Edge of Darkness,4.5,3072,Prime Video,2010,R,Martin Campbell,"Mel Gibson,Ray Winstone,Danny Huston",2.99
82,Snapshot of Love,4.0,120,Prime Video,2022,,Elizabeth Snoderly,"Lexi Giovagnoli,Benedict Mazurek",
83,Puppy Love,4.6,193,Prime Video,2023,,"Richard Alan Reid_,Nick Fabiano","Lucy Hale,Grant Gustin,Christine Lee,Al Miro",
84,Cold Pursuit,4.3,9829,Prime Video,2019,,Hans Petter Moland,"Liam Neeson,Laura Dern,Emmy Rossum,Tom Bateman",3.79
85,My Louisiana Sky,4.5,89,Prime Video,2001,,Adam Arkin,"Juliette Lewis,Michael Cera,Shirley Knight",
86,Running Scared,4.6,3273,Prime Video,2006,R,---,"Paul Walker,Cameron Bright,Vera Farmiga",2.89
87,Devil,4.5,4215,Prime Video,2010,PG-13,"John Erick Dowdle,Drew Dowdle","Chris Messina,Logan Marshall-Green,Geoffrey Arend",3.99
88,Wonder Woman,4.6,48638,Prime Video,2017,PG-13,Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Danny Huston",3.79
89,Interstellar,4.7,99475,Prime Video,2014,PG-13,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",3.79
90,PAW Patrol: The Movie,4.8,20083,Prime Video,2021,G,Cal Brunker,"Tyler Perry,Ron Pardo,Will Brisbin",3.89
91,Ozzy,4.4,938,Prime Video,2017,G,Alberto Rodriguez,"Jeff Foxworthy,Rob Schneider,Frankie Quinones",
92,"The Twilight Saga: Breaking Dawn, Part 2",4.7,31962,Prime Video,2012,PG-13,Bill Condon,"Dakota Fanning,Elizabeth Reaser,Julia Jones",3.79
93,The Break-Up,4.6,4692,Prime Video,2006,PG-13,Sharon Vaughn,"Vince Vaughn,Jennifer Aniston,Joey Lauren Adams",3.99
