id,viewCount,likeCount,favoriteCount,commentCount
VQC4M8i7suU,8764,218,0,19
5Dxk9WXonk8,14961,420,0,32
hULUpyQtObU,13142,278,0,18
eYjSHeHhu3o,16004,651,0,40
z7UEJBVO86E,34340,647,0,27
4Bif1FvNjnQ,34026,1292,0,83
cxBYCHSU4io,738948,18078,0,628
bggqhglUhFY,61192,2807,0,29
LeIemt8eQds,92600,3173,0,293
mqhCay5Jbgo,78124,2080,0,179
l2nmWCKaR-U,6922890,257102,0,5057
tTcC3xTC4cI,51557,1610,0,41
wmDOGAmkRvk,35342,704,0,82
4f25_2UCT5Q,47222,831,0,135
51ZZAmgscIE,48963,1667,0,161
fex_KrmCDW4,9763,168,0,21
ug4gDUzxfXA,10653,184,0,15
3ZlCLXODZrE,8563,129,0,19
3IsAgDhGgnc,7679,144,0,58
hKLRx7kfSpg,47150,1212,0,29
AAsmdjEHnkk,73559,3250,0,250
uN7vjc7deuA,31547096,116326,0,12184
LBRsUSCb_qA,28438,580,0,53
xF2nKytwTOs,25602,647,0,55
kd47YSlIS0k,61010,2269,0,252
GCybi-7cbr0,52626,3096,0,108
hwWBR3D4I2U,10129,213,0,68
s4y7Oqon_fo,5122,124,0,11
P5FM5rdk4bU,3936,74,0,12
TBvYeZ0nsgM,5174,138,0,10
0oSWyHcW6lM,91325,6310,0,285
s3M0RkUMSJk,27524,847,0,22
pD0QQO5z0zg,6934,115,0,46
xzfzSrB_T7Y,62125,2759,0,365
_i3908AhMto,64441,1933,0,235
Lsj1F9Vr7kc,5393,112,0,22
nz_-N_zxjSE,4112,69,0,20
2B56brzrk30,3563,89,0,22
olx_tSj--UA,4415,89,0,16
kCkwzqAVtus,153844,3209,0,106
9z9L73ltTD0,247277,10314,0,217
v3nGTy4UsgY,99644,4063,0,349
ee3Znhs36Fc,16179,1085,0,36
5Agh8ndLhus,60385,3137,0,339
QWxlYmp-51k,13953,478,0,96
2JWuGomivmc,20695,1379,0,39
podoVWVgHQM,1290800,24809,0,2339
VBFdI4FRCWs,317710,8140,0,87
eEGvx1kaw4Q,3060918,33579,0,3311
1Stvgae4lWs,415255,329,0,21
JVcRjaULDDw,441046,386,0,18
X9yMIyvcDgw,446290,217,0,9
X9RfF2iEDT0,373658,223,0,9
Yiad3G8TRDs,46892,928,0,100
NYsABJM8yzE,23462,789,0,21
UCSCYewdiIE,12573,188,0,26
E-T4_7Hg3BI,45442,1013,0,101
BONe_3pgMGk,43282,1045,0,26
UI_mca-fFW0,50918,1230,0,148
tqeyXO1Ssto,31834,867,0,134
dcGs4JkzhzQ,4100080,103083,0,866
ffC3WgO4spk,90238,3147,0,197
A-2_QYEQOZ8,14633,320,0,63
ka7W1P8JsNw,43593,2270,0,38
q9z4fk1Qr-g,5320684,82100,0,3439
M6R2kW_QEsA,99421,6926,0,57
BrvADVSChos,138462,4730,0,356
Je8GD_ujaow,14552,1131,0,94
86JVcDIHDiQ,77781,2042,0,208
h-xnvNoF7Us,69011,2284,0,28
z2BxJvIdJ7U,27492,889,0,85
cMmO9VEoQFQ,25282,701,0,21
wxHy_4YquxA,7188274,244788,0,18594
EKb8-q5EHus,36685,1168,0,20
edtieI44GVA,17959,679,0,21
I6VRmPkqeA8,15675,586,0,51
TqLnKj0-xyw,261601,7952,0,2142
3uAIwlwWVuc,101138,3211,0,37
yo0ZxSA4s0A,217160,9228,0,329
djNW5-tnbfU,41388648,202124,0,4021
gpmPnRdzNwM,1261547,25550,0,3697
5GSt99nxiJQ,54836297,1559905,0,49952
as0aVajoGUI,10543,365,0,65
q0k5QzW3lwg,53753,2806,0,36
OV2jrgYSQcA,1566203,28102,0,793
qG89dlH0icI,1561449,25566,0,1942
QXstX203Zjk,1518910,107207,0,1831
TuTbXEyguaE,33265,1981,0,36
SuGRfbw0pNY,27152,886,0,59
CHg0wcS3q28,23936,431,0,38
BkFcy_hT6cc,12454,612,0,16
tIf3h2-8KrI,152518,2535,0,203
lafZNgZ6RSQ,47391,1621,0,196
-4DBaU9g9Vo,54191,1286,0,142
Ua3WScb6B_Y,6836,131,0,25
ij8CehGGFDg,8610,131,0,12
ka-Ru0eBEHw,9206,96,0,10
A_N2kcVJ0YM,8204,265,0,26
6Wo_inZKEn4,13964,329,0,39
B8iDD5XaqC8,33856,1365,0,21
rYQghDU--HQ,533746,16359,0,166
UQTr8LGoRLQ,1309606,27104,0,2302
mv0Pf0pCcCU,5006082,77486,0,4208
WkzYjAexg1g,32967,1458,0,58
s-g7FK6fzoY,21984,743,0,23
rZENr4VUoRI,21829,621,0,72
n_d4obhhP6s,23171,451,0,41
lEgjHT3yJcY,67897,2047,0,148
s6idRi0H-XU,42000,3352,0,77
CfgnZPJc35Q,162212,4464,0,75
hiznku5zs70,52584,2650,0,245
4CADlb349Po,19442,403,0,75
X3jmu0cKcd8,465393,13284,0,337
kc93VAhS7u8,81450,2030,0,158
LrlfY2CPdHw,122145,4998,0,232
LQioL-LSioQ,13660,1261,0,39
6hsZ5uaknKI,61191,1935,0,150
aj0TXpTgbUM,16967872,465407,0,7206
OMeuJP5iBWY,25779178,474554,0,19685
FNEEszayS3U,1112169,2893,0,236
EM0b9z67Nr0,23395,302,0,24
WrOuLNwSjco,20258,416,0,33
yG3SHe67miM,22370,314,0,20
TIMwRqMy6sU,5046999,97887,0,12368
4wz0EbbN-xk,24828,2277,0,67
NBgVZm3liyo,19447,316,0,50
wxR4iPKv4-E,70961,2144,0,40
Dk83Uz8u9eY,20170,665,0,17
L54_n7-8DsE,52249,1360,0,219
s7jS4z_GJbY,72843,3073,0,96
MgL_GqiUbUY,20626,449,0,124
LKXmiR3p_6M,76699,2574,0,38
RVKnuCU4uB0,19694,604,0,21
4JVmty_Ma2c,169236,7730,0,671
WdD3W6095m0,81970,3009,0,317
NTaxTaxK_0w,16804,350,0,98
UHRVTI6NL-s,7996,227,0,17
Dhv4VYVW14c,4650,104,0,16
pcZI4-X9liI,6290,115,0,17
0S8oUXLtQ8g,50751,1264,0,96
vgX1fkG8qmQ,18875,751,0,52
YxPvUH5rBQs,131391,5043,0,374
eORZCVYY8O4,10692,305,0,78
HPog29-bnao,6208159,96312,0,7401
Ut9VlvPruGQ,14120,425,0,52
NwGq-HH47Zo,965772,22952,0,158
NMUd3gBVnOM,1309459,25761,0,1754
giBbwP9x5-k,6733475,95991,0,12858
MiikYycH6vA,40360,1635,0,37
BNgG0LjlQ8k,94352,1702,0,61
Jv6KbKU9r6Q,42329,1091,0,110
9QZdqf7qlEQ,4083139,95059,0,756
d1LmB3V-has,82616,2639,0,274
GVlb9v1g6A8,28689,486,0,75
TY6iDjVTQwA,39470,1327,0,35
3x2mgA9lahc,83469,2359,0,176
eWGotL7d2Mg,22824,2346,0,57
1zMrGTDpcnQ,35612,734,0,70
oGJ12dKm0dc,88368,3213,0,264
iR44ANw7UDM,62548,2373,0,66
oN9N8hBO-6I,87822,2759,0,302
8my8o992LKc,21685,732,0,17
yq5AGZZ0tyI,31649,1071,0,37
NXWh1yd2tY8,80001,2491,0,231
ctcZEsnq72k,589693,10174,0,192
zBLXUc0GXq4,28706,815,0,36
xV06aiMg3aw,16383,294,0,64
g5m6aQq_di8,21694,709,0,21
8I3zTcKjByY,164115,4276,0,39
HmuIt1d-x1k,209635,5275,0,273
b8JLMPicB_E,14843,349,0,82
lofFZY2M02g,7779,137,0,26
TsRbyubGq-w,6117,88,0,22
PCqguSO8LSg,40937,921,0,98
kiYPAlbwr2k,250903,10956,0,60
stoE13RYuo4,81878,2580,0,220
vZRJ53bRVjQ,85550,2873,0,23
4nPNhWTRf9M,6663,173,0,52
NtbVKDCVQ4I,25186,1181,0,22
xvx5EywZON0,106605,3554,0,309
igpF9BeLjy4,830185,23168,0,215
dTWm4w6em3A,78828,2714,0,176
nOraa7WHWyM,15100,232,0,27
tar2LP724F0,13900,352,0,30
X14uqhWbetc,4831,107,0,10
HP7-847uctQ,3358,98,0,13
v_mebQyfH_k,4336,88,0,19
-25rXd7YsLk,12552,583,0,13
949DXc8vCSM,46402,1273,0,132
1r9N0jWanZc,48088,1716,0,23
us7R4qspXwM,252877,13036,0,58
nxfWx2qSFXk,398214,16726,0,499
05h68HJn8SE,12780,459,0,85
5B1p5DNW3Bw,4579,91,0,15
pLuDjR6GgdY,6920,194,0,20
OyelfLjcsqM,4149,84,0,13
i8VsvLI8RQA,249772,4471,0,93
XJAMVPQWvGY,12570156,221348,0,4360
pwgi6BicWRs,1059567,18184,0,469
FUZKwJUkFEE,20356,332,0,48
UC6yxl37lyY,1304910,24355,0,2382
SYyB_E16jGY,116436,3448,0,241
Z-rva0sh1Us,47801,1564,0,131
NWHWc9HXIcQ,169324,4580,0,61
O9hvoj2pQ1Y,113988,4208,0,215
uqskRCuKmeA,25564,526,0,102
p8BSqHdyJNs,18961,847,0,27
c0s-1GIt1XQ,141893,4645,0,292
XOh6Zpkmq2s,27074,1064,0,20
dvq_MRMhmzQ,21025,735,0,10
QwNfLnVLta4,230718,2790,0,125
2ARMOe6sx4w,556294,10746,0,552
fZwmLUgei6Y,59635,1998,0,40
ZcQgr0lE94w,180892,4479,0,156
bBvgJ1HOlJ0,18306,665,0,24
Za3xWt2s2yQ,3950453,30745,0,2621
j3C1iTwPpFI,37448,1058,0,33
z3_ujG59rwU,25909,836,0,16
f1XWu7-Mj1Q,88402,2940,0,261
7m0oUMBjK2k,34196,1105,0,15
9Nz--KqUhIM,15716,379,0,96
7jYQ7j1fO9I,16265,522,0,21
LpLWz-FaYc4,7932,140,0,10
yvygqDbLydk,66808,2685,0,218
0vQK8K1-_ZM,22004,788,0,102
72bkl7ODRd4,4122017,88091,0,167
PqF6jKg_EC4,161953,4731,0,272
3FcE9WRk028,11127,268,0,64
Yf5S_jpH6Kc,6126,159,0,23
Fh-ql63o4gg,7589,235,0,23
18vjuHckyn8,34726,946,0,29
hS73uqUOhHs,16902,167,0,22
6eOZ8_EqHkE,10911,348,0,23
5cftdMQpk-o,519756,18171,0,39
pX1zv4LdK54,2382143,26647,0,344
uTKlJ9hmM2Y,42412,2676,0,26
C8cH3VW0noc,63222,2313,0,161
9OaNYy4z9h0,11384,248,0,56
Jv1bL92K5oY,6947,194,0,40
2ijKz84yfFU,5034,146,0,22
1RU8cfXIIEk,4327,150,0,15
7npb86k1YhQ,47498,1659,0,134
UAX2JjvEvpw,18027,569,0,51
hpJrwn9VUe0,75503,2361,0,28
f-i6w26BTrQ,22105,277,0,35
FkScIHM8iao,89868,2123,0,129
G1NkpQ_eO_o,186555,5575,0,55
JY2IH2gvQZc,158621,6676,0,56
leqEeM9uPAA,194620,6629,0,295
SBTuHykgKjI,9693,248,0,59
KXedGofQVJs,4740,130,0,18
haUF6-Ljdfc,4457,132,0,23
w6ymf_sgCHI,9775,259,0,20
Pq2VB7ihUW8,8411,195,0,16
zcLO4J-4AIo,16506,373,0,44
ml62zlrY42M,122894,3209,0,203
aAB-o7VZnpE,11008,473,0,22
Vx1WJq2EytQ,151764,4955,0,35
-JqqPlaFC3A,1149706,21829,0,2010
ES12V4Dov7U,2563334,51709,0,610
dqqqZ5vm11o,46731,829,0,60
-CDOpPlA8ls,84849,2294,0,30
ha3bXTBZLkg,111372,4159,0,270
hACEtEoZ-PE,12504,601,0,16
tguD86M_EGc,405353,13819,0,40
Hp4vbW1ZF0U,1803376,41199,0,5755
larwhn5E7EI,1772095,41285,0,1896
Nf5O4qopufI,11806,291,0,70
JMyX-534gWI,559060,11733,0,447
YzFfdKcxReU,52183,2770,0,31
bOjTFdN2_AM,100277,3637,0,247
jDTQGbT4CRo,7120,902,0,25
z_saKAeCTzc,71549,3639,0,19
FiJbMHwoCVg,9275,386,0,19
Evg6ny77deA,139241,4547,0,303
EyoTlXb0R08,3208860,57307,0,1916
ZAy-KFyDVE8,40002,942,0,101
0pOJYNE20pg,17375,340,0,31
HaeBCW5LGjo,17616,374,0,28
qMpsb0ms4dg,89508,3524,0,35
3nRXJNY57e0,1088126,4489,0,155
8X8Z3LeFR9s,49981,2587,0,29
7MS72zKwEcU,20014,720,0,17
usZEwrY2Tc4,1950919,3143,0,153
5SULUsBCIoA,26808,547,0,127
KiomzEQPQu4,22644,478,0,48
bQqfn12m4V0,3188369,54247,0,2838
6DYS6lufhJg,42013,1994,0,22
CElj-OMqHS4,2326256,97322,0,166
VVsG5fiMs04,94507,3363,0,321
BV1e4JQHpgQ,4743,104,0,16
--WLSbjBYj8,16932,451,0,113
ffpDhR_-hqE,9874,230,0,32
7_enhGKX5A0,3953,92,0,16
yXlHuESB2ZM,10732,362,0,19
HIJEGWATOt0,1671589,14589,0,424
gozF1IzFFFo,4663379,40462,0,610
ZkKJulVlVjY,484706,10704,0,374
HGS1dgCIEqk,327536,7405,0,360
e1ezLcAtX5k,15073,411,0,87
