stadium,attendance,home_team,away_team,home_goals,away_goals,Home Expected goals(xG),Home Total shots,Home Shots on target,Home Big chances,Home Big chances missed,Home Accurate passes,Home Fouls committed,Home Corners,Home Total shots.,Home Shots off target,Home Shots on target.,Home Blocked shots,Home Hit woodwork,Home Shots inside box,Home Shots outside box,Home Expected goals (xG),Home xG open play,Home xG set play,Home Non-penalty xG,Home xG on target (xGOT),Home Passes,Home Accurate passes,Home Own half,Home Opposition half,Home Accurate long balls,Home Accurate crosses,Home Throws,Home Touches in opposition box,Home Offsides,Home Yellow cards,Home Red cards,Home Tackles won,Home Interceptions,Home Blocks,Home Clearances,Home Keeper saves,Home Duels won,Home Ground duels won,Home Aerial duels won,Home Successful dribbles,Away Expected goals(xG),Away Total shots,Away Shots on target,Away Big chances,Away Big chances missed,Away Accurate passes,Away Fouls committed,Away Corners,Away Total shots.,Away Shots off target,Away Shots on target.,Away Blocked shots,Away Hit woodwork,Away Shots inside box,Away Shots outside box,Away Expected goals (xG),Away xG open play,Away xG set play,Away Non-penalty xG,Away xG on target (xGOT),Away Passes,Away Accurate passes,Away Own half,Away Opposition half,Away Accurate long balls,Away Accurate crosses,Away Throws,Away Touches in opposition box,Away Offsides,Away Yellow cards,Away Red cards,Away Tackles won,Away Interceptions,Away Blocks,Away Clearances,Away Keeper saves,Away Duels won,Away Ground duels won,Away Aerial duels won,Away Successful dribbles
BVB Stadion Dortmund,"59,127",Turkiye,Georgia,3,1,3.01,22,8,5,4,241(77%),10,5,22,7,8,7,1,11,11,3.01,2.66,0.35,3.01,3.06,573,241(77%),158,353,13(54%),4(24%),14,24,2,2,0,15(83%),6,4,18,3,47,28(42%),19(59%),3(18%),1.37,14,5,5,4,583(89%),7,5,14,6,5,3,2,11,3,1.37,1.31,0.06,1.37,1.13,441,583(89%),224,155,21(46%),6(30%),18,22,1,1,0,16(70%),8,7,27,5,52,39(58%),13(41%),6(30%)
Leipzig Stadium,"38,421",Portugal,Czechia,2,1,1.85,19,8,4,3,241(77%),6,13,19,4,8,7,0,10,9,1.85,1.79,0.06,1.85,2.28,704,241(77%),228,390,28(61%),4(14%),17,35,3,2,0,8(80%),4,2,7,0,50,26(51%),24(62%),10(50%),0.43,5,1,0,0,583(89%),9,0,5,2,1,2,0,3,2,0.43,0.30,0.12,0.43,0.34,257,583(89%),91,78,12(24%),1(13%),12,8,1,1,0,10(63%),11,7,31,7,40,25(49%),15(38%),4(40%)
Volksparkstadion,"46,784",Croatia,Albania,2,2,2.68,22,10,5,4,438(87%),15,3,22,7,10,5,0,15,7,2.68,2.01,0.68,2.68,2.92,634,438(87%),154,418,12(41%),9(31%),14,36,0,1,0,12(71%),14,6,7,5,64,44(61%),20(71%),16(76%),1.46,15,7,4,2,527(90%),11,1,15,2,7,6,0,9,6,1.46,1.43,0.03,1.46,2.43,311,527(90%),147,100,29(48%),4(33%),8,19,4,3,0,7(64%),9,6,26,8,36,28(39%),8(29%),3(33%)
Stuttgart Arena,"54,000",Germany,Hungary,2,0,1.40,19,7,3,1,438(87%),12,11,19,5,7,7,0,11,8,1.40,1.22,0.17,1.40,3.01,718,438(87%),218,450,22(73%),4(15%),12,36,0,2,0,11(65%),6,4,20,3,42,31(52%),11(48%),4(40%),1.18,11,4,4,4,527(90%),10,7,11,4,4,3,0,7,4,1.18,0.64,0.54,1.18,1.16,308,527(90%),177,71,16(39%),1(7%),12,16,1,2,0,6(46%),5,6,31,5,41,29(48%),12(52%),4(25%)
Cologne Stadium,"42,711",Scotland,Switzerland,1,1,0.76,12,3,2,2,170(72%),11,5,12,5,3,4,1,9,3,0.76,0.36,0.40,0.76,1.22,374,170(72%),169,118,23(40%),9(39%),24,25,0,3,0,5(63%),2,1,18,3,46,21(46%),25(66%),2(67%),1.13,11,4,2,2,516(87%),11,8,11,6,4,1,0,9,2,1.13,0.94,0.19,1.13,0.83,420,516(87%),198,146,29(52%),2(13%),22,17,5,2,0,5(56%),8,3,24,2,38,25(54%),13(34%),5(56%)
Fuball Arena Mnchen,"63,028",Slovenia,Serbia,1,1,1.37,11,4,2,1,170(72%),13,4,11,4,4,3,1,6,5,1.37,1.35,0.03,1.37,1.22,346,170(72%),129,140,24(44%),4(25%),17,16,0,2,0,13(68%),6,8,36,3,54,34(47%),20(51%),7(37%),1.64,15,4,3,3,516(87%),8,9,15,3,4,8,1,11,4,1.64,1.20,0.44,1.64,1.80,527,516(87%),243,219,25(54%),9(27%),18,24,0,4,0,10(59%),5,3,15,3,57,38(53%),19(49%),8(47%)
Frankfurt Arena,"46,177",Denmark,England,1,1,0.82,16,7,1,1,488(85%),13,4,16,4,7,5,0,6,10,0.82,0.38,0.43,0.82,0.79,548,488(85%),237,239,17(52%),5(31%),11,21,4,3,0,12(67%),11,1,11,3,45,26(43%),19(59%),4(50%),0.87,12,4,4,3,283(77%),5,2,12,7,4,1,1,7,5,0.87,0.84,0.03,0.87,1.64,528,283(77%),257,198,30(56%),2(22%),18,13,0,1,0,7(70%),7,5,16,6,47,34(57%),13(41%),11(52%)
Arena AufSchalke,"49,528",Spain,Italy,1,0,2.02,20,9,6,6,488(85%),17,5,20,8,9,3,2,11,9,2.02,1.81,0.21,2.02,2.10,590,488(85%),226,311,22(52%),5(29%),9,28,0,3,0,8(50%),9,0,11,1,53,44(47%),9(45%),14(44%),0.16,4,1,1,1,283(77%),14,2,4,3,1,0,0,3,1,0.16,0.03,0.13,0.16,0.08,440,283(77%),233,131,18(51%),4(33%),12,12,0,2,0,16(50%),9,4,15,8,61,50(53%),11(55%),2(33%)
Dsseldorf Arena,"43,910",Slovakia,Ukraine,1,2,0.86,14,5,2,1,401(84%),9,4,14,4,5,5,0,7,7,0.86,0.41,0.45,0.86,2.33,534,401(84%),270,210,15(38%),4(21%),22,17,2,0,0,8(89%),5,5,15,3,37,31(48%),6(35%),10(53%),1.51,13,5,3,1,390(86%),12,4,13,3,5,5,1,9,4,1.51,1.08,0.43,1.51,1.76,419,390(86%),243,125,23(49%),3(18%),14,24,5,1,0,11(58%),8,5,19,4,44,33(52%),11(65%),5(63%)
Olympiastadion Berlin,"69,455",Poland,Austria,1,3,1.68,15,3,2,1,401(84%),15,4,15,5,3,7,0,8,7,1.68,0.77,0.90,1.68,1.27,390,401(84%),197,114,11(35%),6(33%),26,13,0,4,0,5(71%),6,4,21,6,42,30(50%),12(48%),9(69%),2.13,15,9,3,1,390(86%),15,3,15,2,9,4,0,10,5,2.13,1.20,0.14,1.34,2.88,443,390(86%),167,206,14(31%),4(22%),18,24,2,2,0,5(45%),16,7,19,2,43,30(50%),13(52%),5(63%)
Leipzig Stadium,"38,531",Netherlands,France,0,0,0.47,8,4,1,1,511(89%),13,3,8,0,4,4,0,4,4,0.47,0.40,0.07,0.47,0.97,398,511(89%),236,116,12(55%),3(38%),12,12,4,1,0,7(88%),3,5,23,3,22,16(32%),6(60%),0(0%),1.43,15,3,2,2,379(86%),8,6,15,7,3,5,0,8,7,1.43,1.34,0.09,1.43,1.18,660,379(86%),277,332,19(59%),4(20%),17,20,0,0,0,7(54%),2,3,9,4,38,34(68%),4(40%),9(69%)
Volksparkstadion,"46,524",Georgia,Czechia,1,1,1.11,5,1,2,1,511(89%),12,5,5,3,1,1,0,3,2,1.11,0.33,0.28,0.33,0.99,310,511(89%),131,115,19(40%),0(0%),13,13,0,4,0,13(68%),5,7,45,11,54,43(55%),11(34%),9(41%),3.07,27,12,4,3,379(86%),17,11,27,8,12,7,1,15,12,3.07,1.19,1.87,3.07,4.00,493,379(86%),150,280,15(45%),9(20%),18,27,1,5,0,16(73%),3,1,19,0,56,35(45%),21(66%),3(21%)
BVB Stadion Dortmund,"61,047",Turkiye,Portugal,0,3,0.72,11,3,1,1,618(88%),16,9,11,4,3,4,0,4,7,0.72,0.63,0.09,0.72,0.72,433,618(88%),210,163,18(47%),2(13%),11,13,0,3,0,10(48%),8,2,13,1,44,38(49%),6(38%),10(63%),1.86,12,3,3,1,169(66%),8,1,12,7,3,2,0,9,3,1.86,1.86,0.00,1.86,1.63,566,169(66%),293,212,18(53%),6(43%),17,33,4,2,0,6(40%),9,4,18,3,49,39(51%),10(63%),8(36%)
Cologne Stadium,"42,535",Belgium,Romania,2,0,1.76,20,9,3,2,618(88%),9,7,20,5,9,6,0,14,6,1.76,1.52,0.23,1.76,3.21,431,618(88%),173,192,32(64%),1(8%),25,42,5,1,0,12(67%),7,3,22,4,53,39(56%),14(64%),10(48%),0.94,14,5,2,2,169(66%),11,7,14,7,5,2,0,7,7,0.94,0.63,0.31,0.94,0.83,352,169(66%),135,151,21(47%),4(33%),23,19,1,2,0,9(43%),4,6,24,7,39,31(44%),8(36%),1(17%)
Stuttgart Arena,"54,000",Scotland,Hungary,0,1,0.17,4,0,0,0,572(90%),16,2,4,1,0,3,0,2,2,0.17,0.07,0.10,0.17,0.19,501,572(90%),242,169,25(45%),6(32%),18,16,3,1,0,5(42%),6,2,26,4,67,30(45%),37(64%),7(54%),1.22,14,5,3,2,247(79%),13,6,14,7,5,2,2,8,6,1.22,0.95,0.28,1.22,1.31,357,247(79%),146,113,23(33%),2(11%),23,21,5,5,0,9(45%),6,3,15,0,57,36(55%),21(36%),3(25%)
Frankfurt Arena,"46,685",Switzerland,Germany,1,1,0.60,4,3,1,0,572(90%),14,2,4,1,3,0,0,1,3,0.60,0.60,0.00,0.60,1.58,331,572(90%),145,117,18(50%),0(0%),18,10,2,3,0,9(53%),8,5,16,2,38,30(43%),8(50%),3(27%),1.56,18,3,3,2,247(79%),12,9,18,10,3,5,1,12,6,1.56,0.97,0.59,1.56,1.00,636,247(79%),264,307,20(50%),8(30%),12,39,2,1,0,9(53%),7,0,11,2,48,40(57%),8(50%),10(67%)
Dsseldorf Arena,"46,586",Albania,Spain,0,1,0.48,10,4,0,0,668(93%),6,2,10,3,4,3,0,4,6,0.48,0.24,0.24,0.48,0.84,407,668(93%),212,128,21(45%),2(15%),18,11,1,2,0,9(53%),13,3,24,2,51,44(62%),7(32%),12(60%),1.51,16,3,2,1,248(81%),15,6,16,9,3,4,0,12,4,1.51,1.33,0.18,1.51,1.34,577,248(81%),246,272,31(69%),7(30%),12,31,2,1,0,12(75%),5,3,20,4,42,27(38%),15(68%),6(33%)
Leipzig Stadium,"38,322",Croatia,Italy,1,1,1.49,6,4,3,2,668(93%),18,2,6,0,4,2,0,4,2,1.49,0.70,0.00,0.70,2.47,504,668(93%),246,199,20(49%),2(17%),12,21,0,6,0,12(80%),14,7,28,2,32,29(46%),3(20%),9(69%),0.90,12,3,3,2,248(81%),6,11,12,2,3,7,0,10,2,0.90,0.33,0.57,0.90,1.47,569,248(81%),261,229,32(62%),6(25%),20,26,2,2,0,4(31%),1,1,13,3,46,34(54%),12(80%),5(50%)
BVB Stadion Dortmund,"59,728",France,Poland,1,1,2.32,19,8,5,4,287(77%),12,11,19,3,8,8,0,12,7,2.32,1.30,0.23,1.54,3.40,548,287(77%),180,301,21(58%),6(30%),14,57,1,1,0,15(88%),6,2,12,2,55,45(54%),10(77%),14(58%),1.16,10,3,2,1,344(82%),15,3,10,5,3,2,0,5,5,1.16,0.24,0.14,0.38,1.28,405,344(82%),238,105,14(45%),2(20%),12,8,0,3,0,10(53%),10,8,31,7,41,38(46%),3(23%),7(54%)
Olympiastadion Berlin,"68,363",Netherlands,Austria,2,3,1.73,11,2,4,3,287(77%),10,5,11,6,2,3,1,9,2,1.73,1.50,0.23,1.73,1.33,428,287(77%),204,154,17(52%),5(22%),26,21,1,0,0,13(72%),4,3,5,3,58,42(52%),16(62%),9(36%),0.95,9,5,2,1,344(82%),16,2,9,1,5,3,0,5,4,0.95,0.31,0.63,0.95,1.98,404,344(82%),181,136,33(49%),3(38%),16,15,1,3,0,16(70%),10,3,14,0,49,39(48%),10(38%),7(70%)
Fuball Arena Mnchen,"64,288",Denmark,Serbia,0,0,0.67,10,3,1,1,269(78%),11,8,10,5,3,2,0,6,4,0.67,0.58,0.09,0.67,0.44,562,269(78%),261,213,25(45%),3(14%),15,19,0,2,0,5(50%),10,1,20,1,43,17(40%),26(55%),3(30%),0.29,5,1,0,0,462(88%),5,2,5,3,1,1,0,4,1,0.29,0.29,0.00,0.29,0.08,488,462(88%),264,136,30(44%),7(39%),17,10,3,2,0,7(50%),8,2,25,3,46,25(60%),21(45%),2(33%)
Cologne Stadium,"41,536",England,Slovenia,0,0,0.80,12,4,1,1,269(78%),11,6,12,4,4,4,0,6,6,0.80,0.68,0.12,0.80,0.56,746,269(78%),288,394,31(70%),8(44%),17,28,2,3,0,3(60%),3,1,5,1,26,19(40%),7(54%),5(36%),0.15,4,1,0,0,462(88%),9,0,4,2,1,1,0,1,3,0.15,0.15,0.00,0.15,0.09,275,462(88%),100,103,13(30%),1(25%),12,6,0,2,0,10(67%),4,4,24,3,35,29(60%),6(46%),4(67%)
Frankfurt Arena,"45,033",Slovakia,Romania,1,1,0.86,13,4,1,0,476(87%),11,5,13,7,4,2,0,9,4,0.86,0.63,0.23,0.86,0.58,437,476(87%),220,124,20(38%),7(35%),24,22,3,1,0,5(50%),8,0,23,4,39,20(43%),19(61%),2(33%),1.19,9,5,1,0,455(86%),10,1,9,4,5,0,0,6,3,1.19,0.36,0.04,0.40,1.41,323,455(86%),130,95,16(25%),0(0%),23,10,1,3,0,7(70%),7,2,29,3,39,27(57%),12(39%),7(70%)
Stuttgart Arena,"54,000",Ukraine,Belgium,0,0,0.82,13,4,0,0,476(87%),9,3,13,5,4,4,0,6,7,0.82,0.62,0.19,0.82,0.29,374,476(87%),190,123,22(44%),4(40%),16,16,2,1,0,9(50%),11,4,20,4,45,30(60%),15(56%),4(100%),0.88,12,4,1,1,455(86%),8,7,12,4,4,4,0,6,6,0.88,0.80,0.08,0.88,0.71,564,455(86%),233,260,27(60%),1(11%),18,19,0,1,0,3(75%),2,4,10,4,32,20(40%),12(44%),8(53%)
Volksparkstadion,"47,683",Czechia,Turkiye,1,2,1.62,12,7,4,3,537(91%),16,3,12,3,7,2,0,8,4,1.62,0.55,1.06,1.62,1.67,229,537(91%),94,66,28(44%),5(31%),19,25,0,5,2,6(67%),2,7,19,3,39,22(34%),17(49%),7(44%),1.46,18,5,1,1,364(83%),9,7,18,6,5,7,0,11,7,1.46,1.37,0.09,1.46,2.32,512,364(83%),200,247,25(43%),2(15%),14,33,1,11,0,11(73%),4,3,19,5,60,42(66%),18(51%),12(67%)
Arena AufSchalke,"49,616",Georgia,Portugal,2,0,1.65,7,3,3,1,537(91%),6,1,7,3,3,1,0,7,0,1.65,0.86,0.00,0.86,1.63,270,537(91%),146,60,15(33%),0(0%),14,11,0,1,0,13(62%),4,8,26,5,47,40(52%),7(37%),9(60%),2.04,22,5,4,4,364(83%),11,11,22,9,5,8,0,13,9,2.04,1.45,0.59,2.04,0.52,690,364(83%),129,513,12(80%),8(21%),11,30,1,3,0,10(56%),8,1,10,1,49,37(48%),12(63%),13(50%)
Olympiastadion Berlin,"68,172",Switzerland,Italy,2,0,1.25,16,4,2,1,480(90%),9,4,16,5,4,7,1,8,8,1.25,1.18,0.07,1.25,2.14,513,480(90%),184,286,15(54%),0(0%),18,22,0,0,0,8(89%),6,3,26,1,36,28(50%),8(42%),5(50%),0.73,11,1,1,1,368(88%),15,6,11,7,1,3,2,4,7,0.73,0.71,0.01,0.73,0.07,520,368(88%),189,266,6(27%),3(15%),14,12,1,3,0,10(83%),8,6,17,2,39,28(50%),11(58%),7(58%)
BVB Stadion Dortmund,"61,612",Germany,Denmark,2,0,2.58,15,9,5,3,480(90%),7,6,15,5,9,1,0,9,6,2.58,1.40,0.39,1.79,4.06,536,480(90%),199,277,24(55%),4(31%),20,20,4,0,0,6(75%),8,5,22,2,45,30(51%),15(58%),10(42%),1.18,11,2,1,1,368(88%),15,6,11,4,2,5,0,8,3,1.18,0.91,0.28,1.18,0.77,435,368(88%),202,165,25(51%),3(20%),10,25,3,2,0,12(67%),4,1,18,7,40,29(49%),11(42%),4(80%)
Arena AufSchalke,"47,244",England,Slovakia,2,1,1.52,16,2,2,1,311(80%),12,9,16,7,2,7,1,9,7,1.52,0.66,0.86,1.52,0.84,808,311(80%),406,302,30(48%),6(17%),24,38,1,3,0,9(60%),6,3,9,2,70,48(59%),22(45%),14(54%),2.15,13,3,2,1,373(84%),19,1,13,7,3,3,0,8,5,2.15,2.01,0.14,2.15,1.21,472,373(84%),183,196,19(32%),6(33%),13,19,2,6,0,12(57%),9,7,44,0,61,34(41%),27(55%),2(29%)
Cologne Stadium,"42,233",Spain,Georgia,4,1,3.36,35,13,5,3,311(80%),11,13,35,11,13,11,0,20,15,3.36,2.61,0.75,3.36,5.09,792,311(80%),166,582,19(76%),8(24%),15,48,3,1,0,10(56%),6,1,8,0,45,35(49%),10(67%),12(46%),0.25,4,0,0,0,373(84%),5,3,4,3,0,1,0,1,3,0.25,0.25,0.00,0.25,0.00,263,373(84%),175,33,13(36%),0(0%),8,4,0,1,0,10(50%),7,11,28,9,41,36(51%),5(33%),7(41%)
Dsseldorf Arena,"46,810",France,Belgium,1,0,1.06,19,2,1,1,352(88%),7,5,19,16,2,1,0,13,6,1.06,0.76,0.29,1.06,0.30,609,352(88%),189,373,23(72%),7(37%),14,39,1,3,0,11(73%),7,2,18,3,41,34(53%),7(41%),9(56%),0.23,5,2,0,0,609(92%),10,2,5,1,2,2,0,3,2,0.23,0.23,0.00,0.23,0.08,496,609(92%),302,140,20(47%),1(8%),15,13,0,2,0,11(65%),7,1,18,2,40,30(47%),10(59%),6(43%)
Frankfurt Arena,"46,576",Portugal,Slovenia,0,0,1.97,20,6,1,1,352(88%),8,11,20,8,6,6,2,11,9,1.97,0.67,0.51,1.18,1.44,770,352(88%),308,371,29(53%),11(28%),24,38,4,1,0,16(70%),12,2,25,2,83,61(56%),22(48%),22(55%),0.60,10,2,1,1,609(92%),17,4,10,6,2,2,0,3,7,0.60,0.43,0.18,0.60,0.53,305,609(92%),96,91,24(32%),2(22%),25,10,6,5,0,22(61%),9,6,37,6,72,48(44%),24(52%),7(41%)
Fuball Arena Mnchen,"65,012",Romania,Netherlands,0,3,0.28,5,1,0,0,246(79%),8,4,5,3,1,1,0,2,3,0.28,0.28,0.00,0.28,0.08,271,246(79%),124,79,23(45%),2(13%),17,10,0,2,0,5(56%),8,6,35,3,26,19(38%),7(30%),1(14%),2.93,23,6,6,4,430(87%),9,13,23,11,6,6,1,17,6,2.93,2.46,0.47,2.93,2.26,500,430(87%),210,228,25(58%),7(24%),22,50,4,2,0,4(33%),9,1,23,1,47,31(62%),16(70%),11(69%)
Leipzig Stadium,"38,305",Austria,Turkiye,1,2,3.14,21,5,5,4,246(79%),12,10,21,9,5,7,0,14,7,3.14,2.22,0.93,3.14,2.10,564,246(79%),189,281,23(53%),13(34%),24,31,2,2,0,5(42%),5,1,13,2,44,24(38%),20(54%),7(41%),0.92,6,3,2,0,430(87%),5,4,6,2,3,1,0,5,1,0.92,0.19,0.73,0.92,1.78,379,430(87%),178,125,21(37%),4(29%),16,10,1,2,0,8(40%),13,7,55,4,56,39(62%),17(46%),7(58%)
Stuttgart Arena,"54,000",Spain,Germany,2,1,1.41,18,6,3,2,373(86%),17,1,18,9,6,3,0,6,12,1.41,1.35,0.06,1.41,1.49,576,373(86%),235,261,32(55%),4(44%),8,28,3,5,1,11(65%),11,7,37,5,70,50(52%),20(67%),13(50%),2.15,23,5,5,4,505(89%),22,5,23,11,5,7,1,14,9,2.15,2.05,0.09,2.15,1.91,588,505(89%),236,262,28(52%),12(36%),21,45,2,8,0,14(61%),9,3,19,4,56,46(48%),10(33%),7(44%)
Volksparkstadion,"47,789",Portugal,France,0,0,1.84,15,4,4,4,373(86%),8,11,15,5,4,6,0,11,4,1.84,1.73,0.11,1.84,1.18,869,373(86%),457,357,25(66%),3(9%),21,29,1,1,0,11(65%),8,5,19,5,43,40(48%),3(43%),11(46%),1.14,20,5,2,2,505(89%),13,4,20,9,5,6,2,7,13,1.14,1.07,0.06,1.14,0.31,586,505(89%),228,309,35(78%),3(19%),10,25,2,1,0,13(59%),6,6,35,4,48,44(52%),4(57%),14(61%)
Dsseldorf Arena,"46,907",England,Switzerland,1,1,0.65,13,3,0,0,365(85%),8,4,13,2,3,8,0,7,6,0.65,0.64,0.01,0.65,1.27,670,365(85%),230,385,46(69%),6(21%),22,37,3,1,0,16(70%),6,2,21,2,59,47(58%),12(60%),11(58%),1.47,11,3,1,0,286(81%),13,3,11,6,3,2,1,10,1,1.47,1.47,0.00,1.47,1.23,623,286(81%),273,298,24(57%),5(23%),16,30,0,2,0,12(63%),3,8,30,2,42,34(42%),8(40%),7(54%)
Olympiastadion Berlin,"70,091",Netherlands,Turkiye,2,1,1.09,11,4,2,1,365(85%),16,3,11,4,4,3,0,7,4,1.09,1.00,0.09,1.09,1.30,536,365(85%),175,301,12(43%),3(20%),10,22,4,4,0,10(91%),8,4,20,2,37,25(40%),12(55%),8(42%),1.31,15,4,3,2,286(81%),7,7,15,8,4,3,1,9,6,1.31,0.64,0.68,1.31,0.75,361,286(81%),181,113,22(46%),5(25%),8,17,2,1,1,7(41%),12,3,15,3,47,37(60%),10(45%),5(42%)
